SYMBOL	interaction	target	Neighbourhood
APBA2	pp	C2	Cytosol
APBA3	pp	C2	Cytosol
APBB1	pp	C2	Cytosol
APEX2	pp	C2	Cytosol
APOA1	pp	C2	Cytosol
APOH	pp	C2	Cytosol
APPL2	pp	C2	Cytosol
AR	pp	C2	Cytosol
ARAP2	pp	C2	Cytosol
ARCN1	pp	C2	Cytosol
ARF5	pp	C2	Cytosol
ARHGAP30	pp	C2	Cytosol
ARHGAP42	pp	C2	Cytosol
ARHGEF11	pp	C2	Cytosol
ARHGEF12	pp	C2	Cytosol
ARHGEF28	pp	C2	Cytosol
ARPC1A	pp	C2	Cytosol
ASB1	pp	C2	Cytosol
ASB2	pp	C2	Cytosol
ASB8	pp	C2	Cytosol
ASNSD1	pp	C2	Cytosol
ATG14	pp	C2	Cytosol
ATG4D	pp	C2	Cytosol
ATP5G2	pp	C2	Cytosol
AZI2	pp	C2	Cytosol
B9D1	pp	C2	Cytosol
BACH1	pp	C2	Cytosol
BACH2	pp	C2	Cytosol
BAG1	pp	C2	Cytosol
BAG5	pp	C2	Cytosol
BAG6	pp	C2	Cytosol
BARX2	pp	C2	Cytosol
BCAS1	pp	C2	Cytosol
BCDIN3D	pp	C2	Cytosol
BCL3	pp	C2	Cytosol
BECN1	pp	C2	Cytosol
BICD1	pp	C2	Cytosol
BLOC1S3	pp	C2	Cytosol
BLOC1S4	pp	C2	Cytosol
BLOC1S6	pp	C2	Cytosol
BMF	pp	C2	Cytosol
BRAT1	pp	C2	Cytosol
BRCC3	pp	C2	Cytosol
BRE	pp	C2	Cytosol
BRK1	pp	C2	Cytosol
BST1	pp	C2	Cytosol
BTBD3	pp	C2	Cytosol
BTBD7	pp	C2	Cytosol
BUB1	pp	C2	Cytosol
BZW1	pp	C2	Cytosol
C10orf76	pp	C2	Cytosol
C10orf88	pp	C2	Cytosol
C11orf49	pp	C2	Cytosol
C11orf63	pp	C2	Cytosol
C12orf4	pp	C2	Cytosol
C12orf66	pp	C2	Cytosol
C16orf62	pp	C2	Cytosol
C17orf103	pp	C2	Cytosol
C17orf53	pp	C2	Cytosol
C17orf70	pp	C2	Cytosol
C17orf75	pp	C2	Cytosol
C1orf112	pp	C2	Cytosol
C1orf198	pp	C2	Cytosol
C1orf216	pp	C2	Cytosol
C1S	pp	C2	Cytosol
C21orf59	pp	C2	Cytosol
C21orf91	pp	C2	Cytosol
C2CD4C	pp	C2	Cytosol
C2orf54	pp	C2	Cytosol
C3orf38	pp	C2	Cytosol
C5	pp	C2	Cytosol
C5orf30	pp	C2	Cytosol
C5orf34	pp	C2	Cytosol
C5orf54	pp	C2	Cytosol
C6orf62	pp	C2	Cytosol
C8A	pp	C2	Cytosol
C8orf47	pp	C2	Cytosol
C9orf142	pp	C2	Cytosol
CACNB3	pp	C2	Cytosol
CALCOCO2	pp	C2	Cytosol
CALML3	pp	C2	Cytosol
CAMKK1	pp	C2	Cytosol
CAMSAP1	pp	C2	Cytosol
CAMSAP3	pp	C2	Cytosol
CAND2	pp	C2	Cytosol
CAPN15	pp	C2	Cytosol
CAPZB	pp	C2	Cytosol
CARD6	pp	C2	Cytosol
CARKD	pp	C2	Cytosol
CARM1	pp	C2	Cytosol
CASKIN1	pp	C2	Cytosol
CASP9	pp	C2	Cytosol
CBLB	pp	C2	Cytosol
CBLC	pp	C2	Cytosol
CCBL2	pp	C2	Cytosol
CCDC102A	pp	C2	Cytosol
CCDC125	pp	C2	Cytosol
CCDC142	pp	C2	Cytosol
CCDC18	pp	C2	Cytosol
CCDC181	pp	C2	Cytosol
CCDC22	pp	C2	Cytosol
CCDC28A	pp	C2	Cytosol
CCDC28B	pp	C2	Cytosol
CCDC88A	pp	C2	Cytosol
CCDC88C	pp	C2	Cytosol
CCDC89	pp	C2	Cytosol
CCDC93	pp	C2	Cytosol
CCDC97	pp	C2	Cytosol
CCHCR1	pp	C2	Cytosol
CCNA2	pp	C2	Cytosol
CCNB1	pp	C2	Cytosol
CCNB2	pp	C2	Cytosol
CCND1	pp	C2	Cytosol
CCNI	pp	C2	Cytosol
CCNJ	pp	C2	Cytosol
CDC20	pp	C2	Cytosol
CDC25B	pp	C2	Cytosol
CDC42BPB	pp	C2	Cytosol
CDC42BPG	pp	C2	Cytosol
CDC42EP2	pp	C2	Cytosol
CDC42EP4	pp	C2	Cytosol
CDK16	pp	C2	Cytosol
